hpso,model,time,graph,telescope
hpso02a,parametric,26732,base,low-adjusted
hpso01,parametric,32090,base,low-adjusted
hpso02b,parametric,26732,base,low-adjusted
hpso02b,workflow,43187,base,low-adjusted
hpso01,parametric,32090,parallel,low-adjusted
hpso01,workflow,51765,base,low-adjusted
hpso02b,parametric,26732,parallel,low-adjusted
hpso02a,workflow,43187,base,low-adjusted
hpso02a,parametric,26732,parallel,low-adjusted
hpso02b,workflow,46848,parallel,low-adjusted
hpso32,parametric,0,base,mid-adjusted
hpso01,workflow,56237,parallel,low-adjusted
hpso02a,workflow,46848,parallel,low-adjusted
hpso13,parametric,5655,base,mid-adjusted
hpso15,parametric,787,base,mid-adjusted
hpso32,workflow,1061,base,mid-adjusted
hpso22,parametric,62847,base,mid-adjusted
hpso22,workflow,95206,base,mid-adjusted
hpso32,parametric,0,parallel,mid-adjusted
hpso15,workflow,736,base,mid-adjusted
hpso13,parametric,5655,parallel,mid-adjusted
hpso13,workflow,8354,base,mid-adjusted
hpso15,parametric,504,parallel,mid-adjusted
hpso32,workflow,1087,parallel,mid-adjusted
hpso22,parametric,62847,parallel,mid-adjusted
hpso22,workflow,96535,parallel,mid-adjusted
hpso15,parametric,504,parallel,mid-adjusted
hpso13,workflow,8691,parallel,mid-adjusted
hpso15,workflow,773,parallel,mid-adjusted
