observation,workflow,ingest_demand,duration,channels,coarse_channels,demand,workflow_type,graph_type,data,data_distribution,nodes,dir,telescope,time
hpso22,workflows/2768866859543975590_2024-11-10_22-02-55,81,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepD.DPrepC,False,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,62990,heft
hpso32,workflows/-2887030758418618714_2024-11-10_22-05-22,17,7920,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepD.DPrepC,False,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,740,heft
hpso13,workflows/-6945540424978040141_2024-11-10_21-57-52,30,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepD.DPrepC,False,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,5834,heft
hpso15,workflows/-5643670302229644219_2024-11-10_22-00-24,12,15840,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepD.DPrepC,False,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,608,heft
hpso15,workflows/-5643670302229644219_2024-11-10_22-10-30,12,15840,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepD.DPrepC,True,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,785,heft
hpso22,workflows/2768866859543975590_2024-11-10_22-13-06,81,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepD.DPrepC,True,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,132569,heft
hpso01,workflows/-4798338277640702793_2024-11-10_21-49-39,118,18000,65536,896,512,['prototype'],ICAL.DPrepB.DPrepC.DPrepD.DPrepA,True,edges,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,152443,heft
hpso32,workflows/-2887030758418618714_2024-11-10_22-15-56,17,7920,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepD.DPrepC,True,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,847,heft
hpso02a,workflows/8988841495393588671_2024-11-10_21-53-08,59,18000,32768,896,512,['prototype'],ICAL.DPrepB.DPrepC.DPrepD.DPrepA,True,edges,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,92632,heft
hpso13,workflows/-6945540424978040141_2024-11-10_22-07-45,30,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepD.DPrepC,True,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,8529,heft
hpso01,workflows/-4798338277640702793_2024-11-10_21-42-33,118,18000,65536,896,512,['prototype'],ICAL.DPrepB.DPrepC.DPrepD.DPrepA,True,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,108507,heft
hpso02a,workflows/8988841495393588671_2024-11-10_21-53-08,59,18000,32768,896,512,['prototype'],ICAL.DPrepB.DPrepC.DPrepD.DPrepA,True,edges,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,92632,heft
hpso02a,workflows/8988841495393588671_2024-11-10_21-45-53,59,18000,32768,896,512,['prototype'],ICAL.DPrepB.DPrepC.DPrepD.DPrepA,True,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,71203,heft
hpso01,workflows/-4798338277640702793_2024-11-10_21-35-13,118,18000,65536,896,512,['prototype'],ICAL.DPrepB.DPrepC.DPrepD.DPrepA,False,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,63245,heft
hpso02a,workflows/8988841495393588671_2024-11-10_21-38-50,59,18000,32768,896,512,['prototype'],ICAL.DPrepB.DPrepC.DPrepD.DPrepA,False,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,52061,heft
hpso02a,workflows/8988841495393588671_2024-11-10_21-45-53,59,18000,32768,896,512,['prototype'],ICAL.DPrepB.DPrepC.DPrepD.DPrepA,True,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,71203,heft
hpso13,workflows/-6945540424978040141_2024-11-10_22-18-30,30,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepD.DPrepC,True,edges,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,15084,heft
hpso32,workflows/-2887030758418618714_2024-11-10_22-26-42,17,7920,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepD.DPrepC,True,edges,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,927,heft
hpso15,workflows/-5643670302229644219_2024-11-10_22-21-16,12,15840,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepD.DPrepC,True,edges,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,942,heft
hpso02a,workflows/8988841495393588671_2024-11-10_21-38-50,59,18000,32768,896,512,['prototype'],ICAL.DPrepB.DPrepC.DPrepD.DPrepA,False,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,52061,heft
hpso22,workflows/2768866859543975590_2024-11-10_22-23-56,81,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepD.DPrepC,True,edges,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,386343,heft
